2017-07-11 06:39:00.935713 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.30_head
2017-07-11 06:39:00.935732 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.34_head
2017-07-11 06:39:00.953955 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.35_head
2017-07-11 06:39:00.953976 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.36_head
2017-07-11 06:39:00.954001 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.3b_head
2017-07-11 06:39:00.960462 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.3c_head
2017-07-11 06:39:00.960484 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.3d_head
2017-07-11 06:39:00.960501 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.3e_head
2017-07-11 06:39:00.960509 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.41_head
2017-07-11 06:39:00.960517 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.44_head
2017-07-11 06:39:00.960525 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.45_head
2017-07-11 06:39:00.960538 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.48_head
2017-07-11 06:39:00.960546 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.4b_head
2017-07-11 06:39:00.960559 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.4d_head
2017-07-11 06:39:00.960589 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.4f_head
2017-07-11 06:39:00.960602 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.50_head
2017-07-11 06:39:00.960620 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.52_head
2017-07-11 06:39:00.960633 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.55_head
2017-07-11 06:39:00.961302 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.56_head
2017-07-11 06:39:00.961319 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.58_head
2017-07-11 06:39:00.961335 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5b_head
2017-07-11 06:39:00.961348 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5c_head
2017-07-11 06:39:00.961362 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5d_head
2017-07-11 06:39:00.961377 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5e_head
2017-07-11 06:39:00.961386 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.5f_head
2017-07-11 06:39:00.961400 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.62_head
2017-07-11 06:39:00.961412 7fc8d3c2dcc0  7 memstore(/var/lib/ceph/osd/ceph-1) EUNJI: collection_fname = /var/lib/ceph/osd/ceph-1/2.63_head
2017-07-11 06:39:00.968554 7fc8d3c2dcc0  0 memstore(/var/lib/ceph/osd/ceph-1) dump:{
    "collections": [
        {
            "name": "2.63_head",
            "xattrs": [],
            "objects": [
                {
                    "name": "#2:c6000000::::head#",
                    "data_len": 0,
                    "omap_header_len": 0,
                    "xattrs": [],
                    "omap": [
                        {
                            "key": "_biginfo",
                            "length": 8
                        },
                        {
